[19, 18, 10, 5, 1, 2, 4]
[19, 14, 10, 5, 6, 7, 4]
[19, 18, 10, 8, 6, 7, 4]
[19, 14, 10, 8, 6, 7, 4]
[19, 18, 10, 8, 9, 7, 4]
[19, 14, 10, 8, 9, 7, 4]
[19, 18, 10, 5, 6, 7, 4]
[19, 14, 10, 5, 6, 3, 4]
[19, 18, 10, 8, 6, 3, 4]
[19, 14, 10, 8, 6, 3, 4]
[19, 18, 10, 5, 6, 3, 4]
[19, 14, 10, 5, 6, 2, 4]
[19, 18, 10, 8, 6, 2, 4]
[19, 14, 10, 8, 6, 2, 4]
[19, 18, 10, 5, 6, 2, 4]
[19, 14, 10, 5, 1, 2, 4]
[19, 18, 10, 5, 0, 1, 2, 4]
[19, 14, 10, 5, 8, 6, 7, 4]
[19, 20, 15, 11, 8, 6, 7, 4]
[19, 14, 10, 11, 8, 6, 7, 4]
[19, 18, 10, 11, 8, 6, 7, 4]
[19, 14, 15, 11, 8, 6, 7, 4]
[19, 18, 10, 5, 8, 6, 7, 4]
[19, 14, 10, 8, 5, 6, 7, 4]
[19, 18, 10, 5, 8, 9, 7, 4]
[19, 14, 15, 16, 12, 9, 7, 4]
[19, 20, 21, 16, 12, 9, 7, 4]
[19, 20, 15, 11, 12, 9, 7, 4]
[19, 14, 10, 11, 12, 9, 7, 4]
[19, 18, 10, 11, 12, 9, 7, 4]
[19, 14, 15, 11, 12, 9, 7, 4]
[19, 20, 15, 16, 12, 9, 7, 4]
[19, 14, 10, 5, 8, 9, 7, 4]
[19, 20, 15, 11, 8, 9, 7, 4]
[19, 14, 10, 11, 8, 9, 7, 4]
[19, 18, 10, 11, 8, 9, 7, 4]
[19, 14, 15, 11, 8, 9, 7, 4]
[19, 18, 10, 8, 5, 6, 7, 4]
[19, 14, 10, 5, 6, 2, 3, 4]
[19, 18, 10, 8, 6, 2, 3, 4]
[19, 14, 10, 8, 6, 2, 3, 4]
[19, 18, 10, 5, 6, 2, 3, 4]
[19, 14, 10, 5, 1, 2, 3, 4]
[19, 18, 10, 8, 5, 6, 3, 4]
[19, 14, 10, 5, 8, 6, 3, 4]
[19, 20, 15, 11, 8, 6, 3, 4]
[19, 14, 10, 11, 8, 6, 3, 4]
[19, 18, 10, 11, 8, 6, 3, 4]
[19, 14, 15, 11, 8, 6, 3, 4]
[19, 18, 10, 5, 8, 6, 3, 4]
[19, 14, 10, 8, 5, 6, 3, 4]
[19, 18, 10, 5, 1, 2, 3, 4]
[19, 14, 10, 8, 5, 1, 2, 4]
[19, 18, 10, 8, 5, 1, 2, 4]
[19, 14, 10, 5, 0, 1, 2, 4]
[19, 18, 10, 5, 6, 3, 2, 4]
[19, 14, 10, 8, 6, 3, 2, 4]
[19, 18, 10, 8, 6, 3, 2, 4]
[19, 14, 10, 5, 6, 3, 2, 4]
[19, 18, 10, 8, 5, 6, 2, 4]
[19, 14, 10, 5, 8, 6, 2, 4]
[19, 20, 15, 11, 8, 6, 2, 4]
[19, 14, 10, 11, 8, 6, 2, 4]
[19, 18, 10, 11, 8, 6, 2, 4]
[19, 14, 15, 11, 8, 6, 2, 4]
[19, 18, 10, 5, 8, 6, 2, 4]
[19, 14, 10, 8, 5, 6, 2, 4]
[19, 14, 15, 11, 10, 5, 1, 2, 4]
[19, 14, 10, 8, 6, 5, 1, 2, 4]
[19, 14, 10, 8, 5, 0, 1, 2, 4]
[19, 14, 10, 8, 5, 6, 3, 2, 4]
[19, 18, 10, 5, 8, 6, 3, 2, 4]
[19, 14, 15, 11, 8, 6, 3, 2, 4]
[19, 18, 10, 11, 8, 6, 3, 2, 4]
[19, 14, 10, 11, 8, 6, 3, 2, 4]
[19, 20, 15, 11, 8, 6, 3, 2, 4]
[19, 14, 10, 5, 8, 6, 3, 2, 4]
[19, 18, 10, 8, 5, 6, 3, 2, 4]
[19, 20, 15, 11, 10, 8, 6, 2, 4]
[19, 20, 15, 14, 10, 8, 6, 2, 4]
[19, 14, 15, 11, 10, 8, 6, 2, 4]
[19, 20, 21, 15, 11, 8, 6, 2, 4]
[19, 18, 10, 8, 9, 7, 6, 2, 4]
[19, 14, 10, 8, 9, 7, 6, 2, 4]
[19, 14, 15, 11, 8, 5, 6, 2, 4]
[19, 18, 10, 11, 8, 5, 6, 2, 4]
[19, 14, 10, 11, 8, 5, 6, 2, 4]
[19, 20, 15, 11, 8, 5, 6, 2, 4]
[19, 20, 15, 11, 10, 5, 6, 2, 4]
[19, 20, 15, 14, 10, 5, 6, 2, 4]
[19, 14, 15, 11, 10, 5, 6, 2, 4]
[19, 14, 10, 8, 6, 5, 0, 1, 2, 4]
[19, 20, 15, 14, 10, 5, 8, 6, 7, 4]
[19, 20, 15, 11, 10, 5, 8, 6, 7, 4]
[19, 14, 15, 16, 12, 9, 8, 6, 7, 4]
[19, 20, 21, 16, 12, 9, 8, 6, 7, 4]
[19, 20, 15, 11, 12, 9, 8, 6, 7, 4]
[19, 14, 10, 11, 12, 9, 8, 6, 7, 4]
[19, 18, 10, 11, 12, 9, 8, 6, 7, 4]
[19, 14, 15, 11, 12, 9, 8, 6, 7, 4]
[19, 20, 15, 16, 12, 9, 8, 6, 7, 4]
[19, 20, 21, 15, 14, 10, 8, 6, 7, 4]
[19, 20, 21, 15, 11, 10, 8, 6, 7, 4]
[19, 18, 10, 14, 15, 11, 8, 6, 7, 4]
[19, 20, 21, 16, 15, 11, 8, 6, 7, 4]
[19, 14, 15, 16, 12, 11, 8, 6, 7, 4]
[19, 20, 21, 16, 12, 11, 8, 6, 7, 4]
[19, 20, 15, 16, 12, 11, 8, 6, 7, 4]
[19, 20, 15, 14, 10, 11, 8, 6, 7, 4]
[19, 14, 15, 11, 10, 5, 8, 6, 7, 4]
[19, 20, 21, 15, 11, 8, 5, 6, 7, 4]
[19, 14, 15, 11, 10, 8, 5, 6, 7, 4]
[19, 20, 15, 14, 10, 8, 5, 6, 7, 4]
[19, 20, 15, 11, 10, 8, 5, 6, 7, 4]
[19, 14, 15, 11, 8, 10, 5, 6, 7, 4]
[19, 20, 21, 15, 14, 10, 5, 6, 7, 4]
[19, 20, 21, 15, 11, 10, 5, 6, 7, 4]
[19, 20, 15, 11, 8, 10, 5, 6, 7, 4]
[19, 14, 10, 5, 1, 2, 3, 6, 7, 4]
[19, 18, 10, 5, 1, 2, 3, 6, 7, 4]
[19, 14, 10, 8, 5, 1, 2, 6, 7, 4]
[19, 18, 10, 8, 5, 1, 2, 6, 7, 4]
[19, 14, 10, 5, 0, 1, 2, 6, 7, 4]
[19, 14, 15, 11, 10, 5, 8, 9, 7, 4]
[19, 20, 15, 21, 16, 12, 13, 9, 7, 4]
[19, 14, 15, 21, 16, 12, 13, 9, 7, 4]
[19, 20, 21, 22, 16, 12, 13, 9, 7, 4]
[19, 20, 21, 15, 16, 12, 13, 9, 7, 4]
[19, 18, 10, 8, 11, 12, 13, 9, 7, 4]
[19, 14, 10, 8, 11, 12, 13, 9, 7, 4]
[19, 20, 21, 15, 16, 17, 13, 9, 7, 4]
[19, 20, 21, 22, 23, 17, 13, 9, 7, 4]
[19, 20, 15, 21, 16, 17, 13, 9, 7, 4]
[19, 14, 15, 21, 16, 17, 13, 9, 7, 4]
[19, 20, 21, 22, 16, 17, 13, 9, 7, 4]
[19, 20, 21, 15, 11, 12, 13, 9, 7, 4]
[19, 18, 10, 14, 15, 11, 12, 9, 7, 4]
[19, 20, 21, 16, 15, 11, 12, 9, 7, 4]
[19, 20, 15, 14, 10, 11, 12, 9, 7, 4]
[19, 14, 10, 5, 8, 11, 12, 9, 7, 4]
[19, 14, 15, 16, 17, 13, 12, 9, 7, 4]
[19, 20, 21, 16, 17, 13, 12, 9, 7, 4]
[19, 20, 15, 16, 17, 13, 12, 9, 7, 4]
[19, 20, 15, 21, 22, 16, 12, 9, 7, 4]
[19, 14, 15, 21, 22, 16, 12, 9, 7, 4]
[19, 14, 15, 20, 21, 16, 12, 9, 7, 4]
[19, 14, 10, 11, 15, 16, 12, 9, 7, 4]
[19, 18, 10, 11, 15, 16, 12, 9, 7, 4]
[19, 18, 10, 14, 15, 16, 12, 9, 7, 4]
[19, 18, 10, 5, 8, 11, 12, 9, 7, 4]
[19, 20, 15, 14, 10, 5, 8, 9, 7, 4]
[19, 20, 15, 11, 10, 5, 8, 9, 7, 4]
[19, 20, 21, 15, 14, 10, 8, 9, 7, 4]
[19, 20, 21, 15, 11, 10, 8, 9, 7, 4]
[19, 18, 10, 14, 15, 11, 8, 9, 7, 4]
[19, 20, 21, 16, 15, 11, 8, 9, 7, 4]
[19, 14, 15, 16, 12, 11, 8, 9, 7, 4]
[19, 20, 21, 16, 12, 11, 8, 9, 7, 4]
[19, 20, 15, 16, 12, 11, 8, 9, 7, 4]
[19, 20, 15, 14, 10, 11, 8, 9, 7, 4]
[19, 18, 10, 5, 0, 1, 2, 6, 7, 4]
[19, 14, 15, 11, 10, 5, 6, 2, 3, 4]
[19, 20, 15, 14, 10, 5, 6, 2, 3, 4]
[19, 20, 15, 11, 10, 5, 6, 2, 3, 4]
[19, 20, 15, 11, 8, 5, 6, 2, 3, 4]
[19, 14, 10, 11, 8, 5, 6, 2, 3, 4]
[19, 18, 10, 11, 8, 5, 6, 2, 3, 4]
[19, 14, 15, 11, 8, 5, 6, 2, 3, 4]
[19, 14, 10, 8, 9, 7, 6, 2, 3, 4]
[19, 18, 10, 8, 9, 7, 6, 2, 3, 4]
[19, 20, 21, 15, 11, 8, 6, 2, 3, 4]
[19, 14, 15, 11, 10, 8, 6, 2, 3, 4]
[19, 20, 15, 14, 10, 8, 6, 2, 3, 4]
[19, 20, 15, 11, 10, 8, 6, 2, 3, 4]
[19, 14, 10, 8, 5, 0, 1, 2, 3, 4]
[19, 14, 10, 8, 6, 5, 1, 2, 3, 4]
[19, 14, 15, 11, 10, 5, 1, 2, 3, 4]
[19, 20, 15, 14, 10, 5, 1, 2, 3, 4]
[19, 20, 15, 11, 10, 5, 1, 2, 3, 4]
[19, 20, 15, 11, 8, 5, 1, 2, 3, 4]
[19, 14, 10, 11, 8, 5, 1, 2, 3, 4]
[19, 18, 10, 11, 8, 5, 1, 2, 3, 4]
[19, 14, 15, 11, 8, 5, 1, 2, 3, 4]
[19, 18, 10, 8, 6, 5, 1, 2, 3, 4]
[19, 18, 10, 5, 0, 1, 2, 6, 3, 4]
[19, 20, 15, 14, 10, 5, 8, 6, 3, 4]
[19, 20, 15, 11, 10, 5, 8, 6, 3, 4]
[19, 14, 15, 16, 12, 9, 8, 6, 3, 4]
[19, 20, 21, 16, 12, 9, 8, 6, 3, 4]
[19, 20, 15, 11, 12, 9, 8, 6, 3, 4]
[19, 14, 10, 11, 12, 9, 8, 6, 3, 4]
[19, 18, 10, 11, 12, 9, 8, 6, 3, 4]
[19, 14, 15, 11, 12, 9, 8, 6, 3, 4]
[19, 20, 15, 16, 12, 9, 8, 6, 3, 4]
[19, 20, 21, 15, 14, 10, 8, 6, 3, 4]
[19, 20, 21, 15, 11, 10, 8, 6, 3, 4]
[19, 18, 10, 14, 15, 11, 8, 6, 3, 4]
[19, 20, 21, 16, 15, 11, 8, 6, 3, 4]
[19, 14, 15, 16, 12, 11, 8, 6, 3, 4]
[19, 20, 21, 16, 12, 11, 8, 6, 3, 4]
[19, 20, 15, 16, 12, 11, 8, 6, 3, 4]
[19, 20, 15, 14, 10, 11, 8, 6, 3, 4]
[19, 14, 15, 11, 10, 5, 8, 6, 3, 4]
[19, 18, 10, 5, 8, 9, 7, 6, 3, 4]
[19, 14, 15, 16, 12, 9, 7, 6, 3, 4]
[19, 20, 21, 16, 12, 9, 7, 6, 3, 4]
[19, 20, 15, 11, 12, 9, 7, 6, 3, 4]
[19, 14, 10, 11, 12, 9, 7, 6, 3, 4]
[19, 18, 10, 11, 12, 9, 7, 6, 3, 4]
[19, 14, 15, 11, 12, 9, 7, 6, 3, 4]
[19, 20, 15, 16, 12, 9, 7, 6, 3, 4]
[19, 14, 10, 5, 8, 9, 7, 6, 3, 4]
[19, 20, 15, 11, 8, 9, 7, 6, 3, 4]
[19, 14, 10, 11, 8, 9, 7, 6, 3, 4]
[19, 18, 10, 11, 8, 9, 7, 6, 3, 4]
[19, 14, 15, 11, 8, 9, 7, 6, 3, 4]
[19, 20, 21, 15, 11, 8, 5, 6, 3, 4]
[19, 14, 15, 11, 10, 8, 5, 6, 3, 4]
[19, 20, 15, 14, 10, 8, 5, 6, 3, 4]
[19, 20, 15, 11, 10, 8, 5, 6, 3, 4]
[19, 14, 15, 11, 8, 10, 5, 6, 3, 4]
[19, 20, 21, 15, 14, 10, 5, 6, 3, 4]
[19, 20, 21, 15, 11, 10, 5, 6, 3, 4]
[19, 20, 15, 11, 8, 10, 5, 6, 3, 4]
[19, 14, 10, 8, 5, 1, 2, 6, 3, 4]
[19, 18, 10, 8, 5, 1, 2, 6, 3, 4]
[19, 14, 10, 5, 0, 1, 2, 6, 3, 4]
[19, 18, 10, 8, 5, 0, 1, 2, 3, 4]
[19, 14, 10, 11, 8, 6, 5, 1, 2, 4]
[19, 18, 10, 11, 8, 6, 5, 1, 2, 4]
[19, 14, 15, 11, 8, 6, 5, 1, 2, 4]
[19, 20, 21, 15, 11, 8, 5, 1, 2, 4]
[19, 14, 15, 11, 10, 8, 5, 1, 2, 4]
[19, 20, 15, 14, 10, 8, 5, 1, 2, 4]
[19, 20, 15, 11, 10, 8, 5, 1, 2, 4]
[19, 14, 15, 11, 8, 10, 5, 1, 2, 4]
[19, 20, 21, 15, 14, 10, 5, 1, 2, 4]
[19, 20, 21, 15, 11, 10, 5, 1, 2, 4]
[19, 20, 15, 11, 8, 10, 5, 1, 2, 4]
[19, 20, 15, 11, 8, 6, 5, 1, 2, 4]
[19, 14, 15, 11, 10, 5, 0, 1, 2, 4]
[19, 20, 15, 14, 10, 5, 0, 1, 2, 4]
[19, 20, 15, 11, 10, 5, 0, 1, 2, 4]
[19, 20, 15, 11, 8, 5, 0, 1, 2, 4]
[19, 14, 10, 11, 8, 5, 0, 1, 2, 4]
[19, 18, 10, 11, 8, 5, 0, 1, 2, 4]
[19, 14, 15, 11, 8, 5, 0, 1, 2, 4]
[19, 18, 10, 8, 6, 5, 0, 1, 2, 4]
[19, 14, 15, 11, 10, 5, 6, 3, 2, 4]
[19, 20, 15, 14, 10, 5, 6, 3, 2, 4]
[19, 20, 15, 11, 10, 5, 6, 3, 2, 4]
[19, 20, 15, 11, 8, 5, 6, 3, 2, 4]
[19, 14, 10, 11, 8, 5, 6, 3, 2, 4]
[19, 18, 10, 11, 8, 5, 6, 3, 2, 4]
[19, 14, 15, 11, 8, 5, 6, 3, 2, 4]
[19, 14, 10, 8, 9, 7, 6, 3, 2, 4]
[19, 18, 10, 8, 9, 7, 6, 3, 2, 4]
[19, 20, 21, 15, 11, 8, 6, 3, 2, 4]
[19, 14, 15, 11, 10, 8, 6, 3, 2, 4]
[19, 20, 15, 14, 10, 8, 6, 3, 2, 4]
[19, 20, 15, 11, 10, 8, 6, 3, 2, 4]
[19, 20, 15, 14, 10, 5, 8, 6, 2, 4]
[19, 20, 15, 11, 10, 5, 8, 6, 2, 4]
[19, 14, 15, 16, 12, 9, 8, 6, 2, 4]
[19, 20, 21, 16, 12, 9, 8, 6, 2, 4]
[19, 20, 15, 11, 12, 9, 8, 6, 2, 4]
[19, 14, 10, 11, 12, 9, 8, 6, 2, 4]
[19, 18, 10, 11, 12, 9, 8, 6, 2, 4]
[19, 14, 15, 11, 12, 9, 8, 6, 2, 4]
[19, 20, 15, 16, 12, 9, 8, 6, 2, 4]
[19, 20, 21, 15, 14, 10, 8, 6, 2, 4]
[19, 20, 21, 15, 11, 10, 8, 6, 2, 4]
[19, 18, 10, 14, 15, 11, 8, 6, 2, 4]
[19, 20, 21, 16, 15, 11, 8, 6, 2, 4]
[19, 14, 15, 16, 12, 11, 8, 6, 2, 4]
[19, 20, 21, 16, 12, 11, 8, 6, 2, 4]
[19, 20, 15, 16, 12, 11, 8, 6, 2, 4]
[19, 20, 15, 14, 10, 11, 8, 6, 2, 4]
[19, 14, 15, 11, 10, 5, 8, 6, 2, 4]
[19, 18, 10, 5, 8, 9, 7, 6, 2, 4]
[19, 14, 15, 16, 12, 9, 7, 6, 2, 4]
[19, 20, 21, 16, 12, 9, 7, 6, 2, 4]
[19, 20, 15, 11, 12, 9, 7, 6, 2, 4]
[19, 14, 10, 11, 12, 9, 7, 6, 2, 4]
[19, 18, 10, 11, 12, 9, 7, 6, 2, 4]
[19, 14, 15, 11, 12, 9, 7, 6, 2, 4]
[19, 20, 15, 16, 12, 9, 7, 6, 2, 4]
[19, 14, 10, 5, 8, 9, 7, 6, 2, 4]
[19, 20, 15, 11, 8, 9, 7, 6, 2, 4]
[19, 14, 10, 11, 8, 9, 7, 6, 2, 4]
[19, 18, 10, 11, 8, 9, 7, 6, 2, 4]
[19, 14, 15, 11, 8, 9, 7, 6, 2, 4]
[19, 20, 21, 15, 11, 8, 5, 6, 2, 4]
[19, 14, 15, 11, 10, 8, 5, 6, 2, 4]
[19, 20, 15, 14, 10, 8, 5, 6, 2, 4]
[19, 20, 15, 11, 10, 8, 5, 6, 2, 4]
[19, 14, 15, 11, 8, 10, 5, 6, 2, 4]
[19, 20, 21, 15, 14, 10, 5, 6, 2, 4]
[19, 20, 21, 15, 11, 10, 5, 6, 2, 4]
[19, 20, 15, 11, 8, 10, 5, 6, 2, 4]
[19, 20, 15, 11, 8, 6, 5, 0, 1, 2, 4]
[19, 20, 21, 15, 14, 10, 5, 8, 6, 7, 4]
[19, 14, 15, 16, 12, 13, 9, 8, 6, 7, 4]
[19, 20, 21, 16, 12, 13, 9, 8, 6, 7, 4]
[19, 20, 15, 11, 12, 13, 9, 8, 6, 7, 4]
[19, 14, 10, 11, 12, 13, 9, 8, 6, 7, 4]
[19, 18, 10, 11, 12, 13, 9, 8, 6, 7, 4]
[19, 14, 15, 11, 12, 13, 9, 8, 6, 7, 4]
[19, 20, 15, 16, 17, 13, 9, 8, 6, 7, 4]
[19, 20, 21, 16, 17, 13, 9, 8, 6, 7, 4]
[19, 14, 15, 16, 17, 13, 9, 8, 6, 7, 4]
[19, 20, 15, 16, 12, 13, 9, 8, 6, 7, 4]
[19, 20, 21, 15, 16, 12, 9, 8, 6, 7, 4]
[19, 20, 21, 22, 16, 12, 9, 8, 6, 7, 4]
[19, 14, 15, 21, 16, 12, 9, 8, 6, 7, 4]
[19, 20, 15, 21, 16, 12, 9, 8, 6, 7, 4]
[19, 20, 21, 15, 11, 12, 9, 8, 6, 7, 4]
[19, 20, 21, 16, 15, 14, 10, 8, 6, 7, 4]
[19, 20, 15, 16, 12, 11, 10, 8, 6, 7, 4]
[19, 20, 21, 16, 12, 11, 10, 8, 6, 7, 4]
[19, 14, 15, 16, 12, 11, 10, 8, 6, 7, 4]
[19, 20, 21, 16, 15, 11, 10, 8, 6, 7, 4]
[19, 20, 21, 22, 16, 15, 11, 8, 6, 7, 4]
[19, 20, 21, 15, 16, 12, 11, 8, 6, 7, 4]
[19, 20, 21, 22, 16, 12, 11, 8, 6, 7, 4]
[19, 14, 15, 21, 16, 12, 11, 8, 6, 7, 4]
[19, 20, 15, 21, 16, 12, 11, 8, 6, 7, 4]
[19, 20, 21, 15, 14, 10, 11, 8, 6, 7, 4]
[19, 20, 21, 15, 11, 10, 5, 8, 6, 7, 4]
[19, 20, 15, 14, 10, 11, 8, 5, 6, 7, 4]
[19, 20, 15, 16, 12, 11, 8, 5, 6, 7, 4]
[19, 20, 21, 16, 12, 11, 8, 5, 6, 7, 4]
[19, 14, 15, 16, 12, 11, 8, 5, 6, 7, 4]
[19, 20, 21, 16, 15, 11, 8, 5, 6, 7, 4]
[19, 18, 10, 14, 15, 11, 8, 5, 6, 7, 4]
[19, 20, 21, 15, 11, 10, 8, 5, 6, 7, 4]
[19, 20, 21, 15, 14, 10, 8, 5, 6, 7, 4]
[19, 20, 15, 16, 12, 9, 8, 5, 6, 7, 4]
[19, 14, 15, 11, 12, 9, 8, 5, 6, 7, 4]
[19, 18, 10, 11, 12, 9, 8, 5, 6, 7, 4]
[19, 14, 10, 11, 12, 9, 8, 5, 6, 7, 4]
[19, 20, 15, 11, 12, 9, 8, 5, 6, 7, 4]
[19, 20, 21, 16, 12, 9, 8, 5, 6, 7, 4]
[19, 14, 15, 16, 12, 9, 8, 5, 6, 7, 4]
[19, 20, 21, 15, 11, 8, 10, 5, 6, 7, 4]
[19, 20, 21, 16, 15, 14, 10, 5, 6, 7, 4]
[19, 20, 15, 16, 12, 11, 10, 5, 6, 7, 4]
